slot,candidate,selected_for_review,filename,source,method,target_angle,measured_pca_axis,angle_error,bbox,bbox_width,bbox_height,expected_width,expected_height,width_error_percent,height_error_percent,alpha_area,expected_alpha_low,expected_alpha_high,projected_length,expected_projected_length,length_error_percent,centroid_x,centroid_y,expected_centroid_x,expected_centroid_y,centroid_distance,baseline,edge_contact,component_count,partial_alpha_count,palette_outside_count,chroma_contamination_clusters,similarity_previous,similarity_next,front_rear,technical_status,geometry_status,identity_status,status,rejection_reason
6,A,NO,"slot_06_candidate_A.png","Docs\AE86Production32Fix\Step1D_LocalFlipRecovery\PNG\slot_06_22.50_step1d.png","Upright Step 1D failed frame used only as an identity construction base; 3 discrete longitudinal front/cabin/rear bands; silhouette and perspective reconstruction; hard palette remap; seam pixel redraw; baseline/centroid normalization",22.50,28.45,5.95,"22,56,142,114",142,114,146.50,101.50,-3.07,12.32,10507,9411,11936,149.49,151.80,-1.52,91.08,111.31,90.62,118.82,7.52,169,0,1,0,0,0,0.89,0.55,"PASS target: nose/hood upper-right; hatch/red lights lower-left",PASS,FAIL,"PASS AS CANDIDATE: authoritative identity pixels and active palette retained",REJECT,"Rejected: angle error 5.95 > 3.00; bbox height +12.32%; centroid 7.52 px."
6,B,NO,"slot_06_candidate_B.png","Docs\AE86Production32Fix\Step1D_LocalFlipRecovery\PNG\slot_06_22.50_step1d.png","Upright Step 1D failed frame used only as an identity construction base; 5 discrete longitudinal front/cabin/rear bands; silhouette and perspective reconstruction; hard palette remap; seam pixel redraw; baseline/centroid normalization",22.50,24.32,1.82,"21,62,144,108",144,108,146.50,101.50,-1.71,6.40,10127,9411,11936,150.49,151.80,-0.86,91.04,114.30,90.62,118.82,4.53,169,0,1,0,0,0,0.83,0.58,"PASS target: nose/hood upper-right; hatch/red lights lower-left",PASS,FAIL,"PASS AS CANDIDATE: authoritative identity pixels and active palette retained",REJECT,"Rejected: bbox height +6.40%; centroid 4.53 px."
6,C,YES,"slot_06_candidate_C.png","Docs\AE86Production32Fix\Step1D_LocalFlipRecovery\PNG\slot_06_22.50_step1d.png","Upright Step 1D failed frame used only as an identity construction base; 9 discrete longitudinal front/cabin/rear bands; silhouette and perspective reconstruction; hard palette remap; seam pixel redraw; baseline/centroid normalization",22.50,23.88,1.38,"20,65,146,105",146,105,146.50,101.50,-0.34,3.45,9876,9411,11936,150.79,151.80,-0.67,90.99,116.32,90.62,118.82,2.53,169,0,1,0,0,0,0.80,0.60,"PASS target: nose/hood upper-right; hatch/red lights lower-left",PASS,PASS,"PASS: hood, headlights, lights, roof, glass, hatch, wheels, bumpers, and outline manually match the established AE86",METRIC_PASS,"Metric gates pass; retain for manual identity review."
9,A,NO,"slot_09_candidate_A.png","Docs\AE86Production32Fix\Step1D_LocalFlipRecovery\PNG\slot_09_348.75_step1d.png","Upright Step 1D failed frame used only as an identity construction base; 3 discrete longitudinal front/cabin/rear bands; silhouette and perspective reconstruction; hard palette remap; seam pixel redraw; baseline/centroid normalization",348.75,344.57,4.18,"17,71,151,99",151,99,149.00,89.50,1.34,10.61,8781,8423,9624,151.18,150.78,0.27,92.27,121.54,92.17,125.33,3.80,169,0,1,0,0,0,0.65,0.81,"PASS target: nose/hood lower-right; hatch/red lights upper-left",PASS,FAIL,"PASS AS CANDIDATE: authoritative identity pixels and active palette retained",REJECT,"Rejected: angle error 4.18 > 3.00; bbox height +10.61%."
9,B,YES,"slot_09_candidate_B.png","Docs\AE86Production32Fix\Step1D_LocalFlipRecovery\PNG\slot_09_348.75_step1d.png","Upright Step 1D failed frame used only as an identity construction base; 5 discrete longitudinal front/cabin/rear bands; silhouette and perspective reconstruction; hard palette remap; seam pixel redraw; baseline/centroid normalization",348.75,348.11,0.64,"17,79,151,91",151,91,149.00,89.50,1.34,1.68,8678,8423,9624,151.28,150.78,0.34,92.30,124.50,92.17,125.33,0.85,169,0,1,0,0,0,0.71,0.75,"PASS target: nose/hood lower-right; hatch/red lights upper-left",PASS,PASS,"PASS: hood, headlights, lights, roof, glass, hatch, wheels, bumpers, and outline manually match the established AE86",METRIC_PASS,"Metric gates pass; retain for manual identity review."
9,C,NO,"slot_09_candidate_C.png","Docs\AE86Production32Fix\Step1D_LocalFlipRecovery\PNG\slot_09_348.75_step1d.png","Upright Step 1D failed frame used only as an identity construction base; 9 discrete longitudinal front/cabin/rear bands; silhouette and perspective reconstruction; hard palette remap; seam pixel redraw; baseline/centroid normalization",348.75,347.35,1.40,"16,80,153,90",153,90,149.00,89.50,2.68,0.56,8693,8423,9624,152.16,150.78,0.91,92.26,124.51,92.17,125.33,0.82,169,0,1,0,0,0,0.71,0.75,"PASS target: nose/hood lower-right; hatch/red lights upper-left",PASS,PASS,"PASS AS CANDIDATE: authoritative identity pixels and active palette retained",METRIC_PASS,"Metric gates pass; retain for manual identity review."
14,A,NO,"slot_14_candidate_A.png","Docs\AE86Production32Fix\Step1_Candidates\PNG\slot_14_292.50_candidate.png","Authorized Step 1 identity candidate used as construction base; 3 discrete longitudinal front/cabin/rear bands; silhouette and perspective reconstruction; hard palette remap; seam pixel redraw; baseline/centroid normalization",292.50,296.59,4.09,"37,24,113,146",113,146,112.50,144.00,0.44,1.39,10243,9411,10965,153.07,154.22,-0.75,91.93,96.84,92.23,97.77,0.98,169,0,1,0,0,0,0.83,0.83,"PASS target: nose/hood lower-right; hatch/red lights upper-left",PASS,FAIL,"PASS AS CANDIDATE: authoritative identity pixels and active palette retained",REJECT,"Rejected: angle error 4.09 > 3.00."
14,B,YES,"slot_14_candidate_B.png","Docs\AE86Production32Fix\Step1_Candidates\PNG\slot_14_292.50_candidate.png","Authorized Step 1 identity candidate used as construction base; 5 discrete longitudinal front/cabin/rear bands; silhouette and perspective reconstruction; hard palette remap; seam pixel redraw; baseline/centroid normalization",292.50,294.48,1.98,"38,22,111,148",111,148,112.50,144.00,-1.33,2.78,10301,9411,10965,152.97,154.22,-0.81,91.91,95.84,92.23,97.77,1.95,169,0,1,0,0,0,0.79,0.87,"PASS target: nose/hood lower-right; hatch/red lights upper-left",PASS,PASS,"PASS: hood, headlights, lights, roof, glass, hatch, wheels, bumpers, and outline manually match the established AE86",METRIC_PASS,"Metric gates pass; retain for manual identity review."
14,C,NO,"slot_14_candidate_C.png","Docs\AE86Production32Fix\Step1_Candidates\PNG\slot_14_292.50_candidate.png","Authorized Step 1 identity candidate used as construction base; 9 discrete longitudinal front/cabin/rear bands; silhouette and perspective reconstruction; hard palette remap; seam pixel redraw; baseline/centroid normalization",292.50,294.51,2.01,"38,20,111,150",111,150,112.50,144.00,-1.33,4.17,10345,9411,10965,153.97,154.22,-0.16,91.93,94.85,92.23,97.77,2.93,169,0,1,0,0,0,0.79,0.87,"PASS target: nose/hood lower-right; hatch/red lights upper-left",PASS,PASS,"PASS AS CANDIDATE: authoritative identity pixels and active palette retained",METRIC_PASS,"Metric gates pass; retain for manual identity review."
6,FINAL,YES,"slot_06_22.50_step1f.png","Docs\AE86Production32Fix\Step1F_IdentityRedraw\Candidates\slot_06_candidate_C.png","Exact RGBA copy of manually approved candidate C; no additional pixel transform",22.50,23.88,1.38,"20,65,146,105",146,105,146.50,101.50,-0.34,3.45,9876,9411,11936,150.79,151.80,-0.67,90.99,116.32,90.62,118.82,2.53,169,0,1,0,0,0,0.80,0.60,"PASS target: nose/hood upper-right; hatch/red lights lower-left",PASS,PASS,"PASS: manually approved AE86 identity and exact active palette",FINAL_PASS,"Selected candidate C passed every final gate."
